Year,Round,Region Number,Region Name,Seed1,Score1,Team1,Team2,Score2,Seed2
2020,2,1,West,1,0,Gonzaga,Oklahoma,0,9,0
2020,2,1,West,2,0,San Diego St,Texas Tech,0,10,0
2020,2,1,West,3,0,Seton Hall,BYU,0,6,1
2020,2,1,West,4,0,Oregon,Michigan,0,5,0
2020,2,2,Midwest,1,0,Kansas,Marquette,0,9,0
2020,2,2,Midwest,2,0,Kentucky,Providence,0,7,0
2020,2,2,Midwest,3,0,Duke,Iowa,0,11,0
2020,2,2,Midwest,4,0,Wisconsin,Auburn,0,5,0
2020,2,3,East,1,0,Dayton,Florida,0,9,0
2020,2,3,East,2,0,Florida St,West Virginia,0,7,0
2020,2,3,East,3,0,Villanova,NC State,0,11,0
2020,2,3,East,4,0,Maryland,Butler,0,5,1
2020,2,4,South,1,0,Baylor,Rutgers,0,9,0
2020,2,4,South,2,0,Creighton,Southern California,0,10,0
2020,2,4,South,3,0,Michigan St,Virginia,0,6,0
2020,2,4,South,4,0,Louisville,Ohio St,0,5,0